Year;Country;mockCov_4
2004;France;4
2005;France;8
2006;France;12
2007;France;16
2008;France;20
2009;France;24
2010;France;28
2011;France;32
2012;France;36
2013;France;40
2014;France;44
2015;France;48
2016;France;52
2017;France;56
2018;France;60
2019;France;64
2004;Italy;6
2005;Italy;10
2006;Italy;14
2007;Italy;18
2008;Italy;22
2009;Italy;26
2010;Italy;30
2011;Italy;34
2012;Italy;38
2013;Italy;42
2014;Italy;46
2015;Italy;50
2016;Italy;54
2017;Italy;58
2018;Italy;62
2019;Italy;66
2004;Germany;10
2005;Germany;14
2006;Germany;18
2007;Germany;22
2008;Germany;26
2009;Germany;30
2010;Germany;34
2011;Germany;38
2012;Germany;42
2013;Germany;46
2014;Germany;50
2015;Germany;54
2016;Germany;58
2017;Germany;62
2018;Germany;66
2019;Germany;70
2004;Greece;11
2005;Greece;15
2006;Greece;19
2007;Greece;23
2008;Greece;27
2009;Greece;31
2010;Greece;35
2011;Greece;39
2012;Greece;43
2013;Greece;47
2014;Greece;51
2015;Greece;55
2016;Greece;59
2017;Greece;63
2018;Greece;67
2019;Greece;71
2004;Spain;2
2005;Spain;6
2006;Spain;10
2007;Spain;14
2008;Spain;18
2009;Spain;22
2010;Spain;26
2011;Spain;30
2012;Spain;34
2013;Spain;38
2014;Spain;42
2015;Spain;46
2016;Spain;50
2017;Spain;54
2018;Spain;58
2019;Spain;62
2004;Portugal;1
2005;Portugal;5
2006;Portugal;9
2007;Portugal;13
2008;Portugal;17
2009;Portugal;21
2010;Portugal;25
2011;Portugal;29
2012;Portugal;33
2013;Portugal;37
2014;Portugal;41
2015;Portugal;45
2016;Portugal;49
2017;Portugal;53
2018;Portugal;57
2019;Portugal;61
