Year;Country;mockCov_2
2004;France;1000
2005;France;1010
2006;France;1020
2007;France;1030
2008;France;1040
2009;France;1050
2010;France;1060
2011;France;1070
2012;France;1080
2013;France;1090
2014;France;1100
2015;France;1110
2016;France;1120
2017;France;1130
2018;France;1140
2019;France;1150
2004;Italy;2000
2005;Italy;2010
2006;Italy;2020
2007;Italy;2030
2008;Italy;2040
2009;Italy;2050
2010;Italy;2060
2011;Italy;2070
2012;Italy;2080
2013;Italy;2090
2014;Italy;2100
2015;Italy;2110
2016;Italy;2120
2017;Italy;2130
2018;Italy;2140
2019;Italy;2150
2004;Germany;1245
2005;Germany;1257
2006;Germany;1269
2007;Germany;1281
2008;Germany;1293
2009;Germany;1305
2010;Germany;1317
2011;Germany;1329
2012;Germany;1341
2013;Germany;1353
2014;Germany;1365
2015;Germany;1377
2016;Germany;1389
2017;Germany;1401
2018;Germany;1413
2019;Germany;1425
2004;Greece;1380
2005;Greece;1400
2006;Greece;1420
2007;Greece;1440
2008;Greece;1460
2009;Greece;1480
2010;Greece;1500
2011;Greece;1520
2012;Greece;1540
2013;Greece;1560
2014;Greece;1580
2015;Greece;1600
2016;Greece;1620
2017;Greece;1640
2018;Greece;1660
2019;Greece;1680
2004;Spain;1800
2005;Spain;1830
2006;Spain;1860
2007;Spain;1890
2008;Spain;1920
2009;Spain;1950
2010;Spain;1980
2011;Spain;2010
2012;Spain;2040
2013;Spain;2070
2014;Spain;2100
2015;Spain;2130
2016;Spain;2160
2017;Spain;2190
2018;Spain;2220
2019;Spain;2250
2004;Portugal;900
2005;Portugal;920
2006;Portugal;940
2007;Portugal;960
2008;Portugal;980
2009;Portugal;1000
2010;Portugal;1020
2011;Portugal;1040
2012;Portugal;1060
2013;Portugal;1080
2014;Portugal;1100
2015;Portugal;1120
2016;Portugal;1140
2017;Portugal;1160
2018;Portugal;1180
2019;Portugal;1200
